"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2020-01-01","2020","01","01","","12.4","","7.2","","9.8","","8.2","","0.0","","","","","M","","M","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2020-01-02","2020","01","02","","7.2","","3.5","","5.4","","12.6","","0.0","","","","","M","0.6","","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2020-01-03","2020","01","03","","11.2","","4.8","","8.0","","10.0","","0.0","","","","","M","4.9","","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2020-01-04","2020","01","04","","9.3","","6.0","","7.7","","10.3","","0.0","","","","","M","2.5","","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2020-01-05","2020","01","05","","7.4","","3.7","","5.6","","12.4","","0.0","","","","","M","1.4","","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2020-01-06","2020","01","06","","5.5","","3.9","","4.7","","13.3","","0.0","","","","","","","M","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2020-01-07","2020","01","07","","9.7","","5.1","","7.4","","10.6","","0.0","","","","","","","M","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2020-01-08","2020","01","08","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2020-01-09","2020","01","09","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2020-01-10","2020","01","10","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2020-01-11","2020","01","11","","","","","","","","","","","","","","","","","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2020-01-12","2020","01","12","","","","","","","","","","","","","","","","","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2020-01-13","2020","01","13","","","","","","","","","","","","","","","","","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2020-01-14","2020","01","14","","","M","","M","","M","","M","","M","","","","","","M","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2020-01-15","2020","01","15","","5.4","","-5.9","","-0.3","","18.3","","0.0","","","","","","","M","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2020-01-16","2020","01","16","","5.1","","0.5","","2.8","","15.2","","0.0","","","","","","","M","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2020-01-17","2020","01","17","","6.2","","0.1","","3.1","","14.9","","0.0","","","","","","","M","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2020-01-18","2020","01","18","","6.1","","3.1","","4.6","","13.4","","0.0","","","","","","","M","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2020-01-19","2020","01","19","","8.2","","5.5","","6.8","","11.2","","0.0","","","","","","","M","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2020-01-20","2020","01","20","","8.5","","6.6","","7.6","","10.4","","0.0","","","","","","","M","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2020-01-21","2020","01","21","","9.9","","6.2","","8.0","","10.0","","0.0","","","","","","","M","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2020-01-22","2020","01","22","","7.6","","5.7","","6.7","","11.3","","0.0","","","","","","","M","","","","M","","M"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","2020-01-23","2020","01","23","","9.7","","6.1","","7.9","","10.1","","0.0","","","","","","","M","","","","M","","M"
